pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,server_changed,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-15,0-0,0-0,,72660,1.0,72660.0,3,,2,Deuce,Cassius Chinlund,Near,,,,,,,,,,-68.47896982,525.4531167976288,Crosscourt,Backhand,,,,,,,,,,10.888888888883264,-473.729708,,,,,1.0,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,1,False,,Greg Gamal,Greg Gamal,1.0,,,Cassius Chinlund,1,,,Long
30-15,0-0,0-0,1.0,106190,,,4,,1,Ad,Cassius Chinlund,Near,1.0,Body,87.91652449689246,194.66300306201663,,,,,,-35.62252843,-448.1914589,,,,,,,,,,,,,,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,,1.0,1,False,,Greg Gamal,Cassius Chinlund,,,,,,1st Serve In,Body,
30-15,0-0,0-0,,107120,,,4,,2,Ad,Cassius Chinlund,Near,,,,,,,,,,157.8904199,511.09944225695375,Down the Line,Backhand,,,,,,,,,,92.67444225716996,-422.6164261,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,1,False,,Greg Gamal,Greg Gamal,,,,,,,,Deep
30-15,0-0,0-0,,108290,,,4,,3,Deuce,Cassius Chinlund,Near,,,,,,,,,,71.43196084860702,-522.3521107,Crosscourt,Forehand,,,,,,,,,,-23.75341754,312.1891294836533,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,1,False,,Greg Gamal,Cassius Chinlund,1.0,,,,,,,Short
30-15,0-0,0-0,,109790,,,4,,4,Deuce,Cassius Chinlund,Near,,,,,,,,,,-41.60322616,496.7457677162787,Crosscourt,Forehand,,,,,,,,,,109.71944991245428,-287.8365322,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Greg Gamal,,,,,,,,Short
30-15,0-0,0-0,,111209,,,4,,5,Deuce,Cassius Chinlund,Near,,,,,,,,,,147.19991797892658,-530.1270177,Crosscourt,Forehand,,,,,,,,,,-45.3588364,292.59066054228106,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Cassius Chinlund,1.0,,,,,,,Short
30-15,0-0,0-0,,112720,,,4,,6,Deuce,Cassius Chinlund,Near,,,,,,,,,,-74.01114392,438.73299978105064,Crosscourt,Forehand,,,,,,,,,,113.32547572172624,-323.641869,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Greg Gamal,,,,,,,,Short
30-15,0-0,0-0,,114010,,,4,,7,Deuce,Cassius Chinlund,Near,,,,,,,,,,145.7047627,-535.8086997,Crosscourt,Forehand,,,,,,,,,,-26.00885827,410.7105314958508,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Cassius Chinlund,1.0,,,,,,,Deep
30-15,0-0,0-0,,115489,,,4,,8,Deuce,Cassius Chinlund,Near,,,,,,,,,,-38.6502734,518.2762795272913,Crosscourt,Forehand,,,,,,,,,,91.46842738402974,-198.4881616,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Greg Gamal,,,,,,,,Short
30-15,0-0,0-0,,116889,,,4,,9,Deuce,Cassius Chinlund,Near,,,,,,,,,,126.7907917759625,-504.4100175,Crosscourt,Forehand,,,,,,,,,,-63.64484361,416.7689687224444,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,1,False,,Greg Gamal,Cassius Chinlund,1.0,,,,,,,Deep
30-15,0-0,0-0,,118360,1.0,118360.0,4,,10,Deuce,Cassius Chinlund,Near,,,,,,,,,,-80.81417323,484.1863024931881,Down the Line,Forehand,,,,,,,,,,-80.03873031,-487.5953576,,,,,1.0,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,1,False,,Greg Gamal,Greg Gamal,,,,Cassius Chinlund,1,,,Long
40-15,0-0,0-0,1.0,144389,1.0,151619.0,5,,1,Deuce,Cassius Chinlund,Near,0.0,Body,-95.16784777,-222.1688539,0.0,T,-30.14646763,-226.7413987,,23.66113298336486,-471.0309875,,,,,,,,,,,,,,,,,1.0,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,,1.0,1,False,,Greg Gamal,Cassius Chinlund,,,1,Greg Gamal,,Double Fault,T,
40-30,0-0,0-0,1.0,173160,,,6,,1,Ad,Cassius Chinlund,Near,0.0,Body,69.06911636041927,334.5664315396347,1.0,T,21.58325678,236.73056102349972,,-28.46437008,-425.7638233,,,,,,,,,,,,,,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,,1.0,1,False,,Greg Gamal,Cassius Chinlund,,,,,,2nd Serve In,T,
40-30,0-0,0-0,,183389,,,6,,2,Ad,Cassius Chinlund,Near,,,,,,,,,,50.499518810122645,535.6203029306068,Down the Line,Forehand,,,,,,,,,,24.02384076989135,-279.3365157,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Greg Gamal,,1.0,,,,,,Short
40-30,0-0,0-0,,184550,,,6,,3,Deuce,Cassius Chinlund,Near,,,,,,,,,,14.073337707779256,-499.3264053,Crosscourt,Forehand,,,,,,,,,,-54.74032152,347.98240922991647,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Cassius Chinlund,1.0,,,,,,,Short
40-30,0-0,0-0,,186119,,,6,,4,Deuce,Cassius Chinlund,Near,,,,,,,,,,-71.54411089,555.3566054,Crosscourt,Forehand,,,,,,,,,,144.2599026683419,-321.8691328,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Greg Gamal,,,,,,,,Short
40-30,0-0,0-0,,187600,,,6,,5,Deuce,Cassius Chinlund,Near,,,,,,,,,,176.28107502178122,-442.2107612,Crosscourt,Forehand,,,,,,,,,,-63.62677712,299.5555610234673,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Cassius Chinlund,1.0,,,,,,,Short
40-30,0-0,0-0,,189289,,,6,,6,Deuce,Cassius Chinlund,Near,,,,,,,,,,-94.94358596,482.39209317560375,Crosscourt,Forehand,,,,,,,,,,122.1884678477059,-401.6083115,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Greg Gamal,,,,,,,,Deep
40-30,0-0,0-0,,190500,,,6,,7,Deuce,Cassius Chinlund,Near,,,,,,,,,,137.55604768146875,-536.7057852,Crosscourt,Forehand,,,,,,,,,,-1.891354987,337.57289479422633,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Cassius Chinlund,1.0,,,,,,,Short
40-30,0-0,0-0,,192220,1.0,192220.0,6,,8,Deuce,Cassius Chinlund,Near,,,,,,,,,,-39.39785105,422.58511592279126,Down the Line,Forehand,,,,,,,,,,-133.3863244,-300.7229549,1.0,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,1,False,,Greg Gamal,Greg Gamal,,,,Greg Gamal,,,,Short
40-40,0-0,0-0,1.0,208990,,,7,1.0,1,Deuce,Cassius Chinlund,Near,1.0,Wide,-121.1027176,238.9043198,,,,,,-13.38179681,-450.5309164,,,,,,,,,,,,,,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,,1.0,1,False,,Greg Gamal,Cassius Chinlund,,,,,,1st Serve In,Wide,
40-40,0-0,0-0,,209789,,,7,1.0,2,Deuce,Cassius Chinlund,Near,,,,,,,,,,-162.2264162,535.0222331580787,Down the Line,Forehand,,,,,,,,,,-130.9620462,-210.8488572,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,1,False,,Greg Gamal,Greg Gamal,,,,,,,,Short
40-40,0-0,0-0,,211050,,,7,1.0,3,Ad,Cassius Chinlund,Near,,,,,,,,,,-93.82220035,-468.2267771,Crosscourt,Backhand,1.0,,,,,,,,,133.32879483807636,253.46759623783936,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,,,1,False,,Greg Gamal,Cassius Chinlund,1.0,,,,,,,Short
40-40,0-0,0-0,,212990,,,7,1.0,4,Ad,Cassius Chinlund,Near,,,,,,,,,,111.09146981621556,482.39209317560375,Crosscourt,Backhand,,,,,,,,,,-63.07835192,-273.8335083,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,1,False,,Greg Gamal,Greg Gamal,,,,,,,,Short
40-40,0-0,0-0,,214220,,,7,1.0,5,Ad,Cassius Chinlund,Near,,,,,,,,,,-108.101121,-494.2428314,Crosscourt,Backhand,1.0,,,,,,,,,62.731643700754994,370.5691601047955,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,,,1,False,,Greg Gamal,Cassius Chinlund,1.0,,,,,,,Deep
40-40,0-0,0-0,,215919,,,7,1.0,6,Ad,Cassius Chinlund,Near,,,,,,,,,,96.81254921254842,512.8936515745381,Down the Line,Backhand,,,,,,,,,,6.49210958,-311.966437,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,1,False,,Greg Gamal,Greg Gamal,,,,,,,,Short
40-40,0-0,0-0,,217250,,,7,1.0,7,Ad,Cassius Chinlund,Near,,,,,,,,,,-16.24131671,-523.847266,Down the Line,Backhand,,,,,,,,,,-68.31055337,278.95126312321554,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Cassius Chinlund,,1.0,,,,,,Short
40-40,0-0,0-0,,218690,,,7,1.0,8,Deuce,Cassius Chinlund,Near,,,,,,,,,,-76.62768482,503.92260498661625,Crosscourt,Forehand,,,,,,,,,,128.88045713029211,-314.5469215,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Greg Gamal,,,,,,,,Short
40-40,0-0,0-0,,220199,,,7,1.0,9,Deuce,Cassius Chinlund,Near,,,,,,,,,,149.14363517052664,-492.7476378,Crosscourt,Forehand,,,,,,,,,,-100.7709099,287.5556594486703,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Cassius Chinlund,1.0,,,,,,,Short
40-40,0-0,0-0,,221649,,,7,1.0,10,Deuce,Cassius Chinlund,Near,,,,,,,,,,-149.1436352,550.5720472438101,Crosscourt,Forehand,,,,,,,,,,75.99757764650492,-212.5989337,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Greg Gamal,,,,,,,,Short
