pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
30-15,4-2,0-0,1.0,1890588.0,,,41,,1,Ad,David Fix,Near,0.0,T,20.15653981,305.1585849,1.0,T,39.6628773,217.4533847,,-46.01397638,-423.969614,,,1.0,,,,,,,,,,,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,,7,,Gianluca Ballotta,David Fix,,,,,,2nd Serve In,T,
30-15,4-2,0-0,,1900639.0,,,41,,2,Ad,David Fix,Near,,,,,,,,,,51.47139654,514.6878609,Crosscourt,Forehand,,,,,,,,,,-0.2485673666,-203.6857612,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,7,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
30-15,4-2,0-0,,1902028.0,1.0,1902028.0,41,,3,Ad,David Fix,Near,,,,,,,,,,-26.3524661,-400.9439469,Down the Line,Forehand,,,,,,,,,,-162.4282863,268.6644248,,,1.0,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,7,,Gianluca Ballotta,David Fix,,1.0,,Gianluca Ballotta,1,,,
40-15,4-2,0-0,1.0,1932829.0,,,42,,1,Deuce,David Fix,Near,0.0,Body,-71.58146872,-6.746686352,1.0,T,-28.53502843,139.9245954,,32.2770888,-408.4197999,,,,,,,,,,,,,,,,,1.0,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,1.0,7,,Gianluca Ballotta,David Fix,,,,,,2nd Serve In,T,
40-15,4-2,0-0,,1949709.0,,,42,,2,Deuce,David Fix,Near,,,,,,,,,,-75.88010717,505.1187445,Down the Line,Forehand,,,,,,,,,,-86.25968941,-237.1778215,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,7,,Gianluca Ballotta,Gianluca Ballotta,,1.0,,,,,,Short
40-15,4-2,0-0,,1951229.0,,,42,,3,Ad,David Fix,Near,,,,,,,,,,-92.17749891,-493.9437773,Down the Line,Backhand,,,,,,,,,,-159.1974081,361.6326006,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,7,,Gianluca Ballotta,David Fix,,,,,,,,
40-15,4-2,0-0,,1952709.0,,,42,,4,Deuce,David Fix,Near,,,,,,,,,,-156.5447725,543.39521,Down the Line,Backhand,1.0,,,,,,,,,-5.393613298,-409.3539753,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,,7,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Deep
40-15,4-2,0-0,,1955128.0,,,42,,5,Deuce,David Fix,Near,,,,,,,,,,1.853767498,-489.4582732,Crosscourt,Forehand,,,,,,,,,,-109.2466207,289.085608,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,7,,Gianluca Ballotta,David Fix,,,,,,,,Short
40-15,4-2,0-0,,1956539.0,1.0,1956539.0,42,,6,Deuce,David Fix,Near,,,,,,,,,,-150.9378445,549.9739775,Crosscourt,Backhand,,,,,,,,,,220.0542323,-245.5029528,,,1.0,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,7,,Gianluca Ballotta,Gianluca Ballotta,,,,David Fix,1,,,
0-0,4-3,0-0,1.0,2055818.0,,,43,,1,Deuce,Gianluca Ballotta,Near,1.0,T,-7.190846457,205.2690289,,,,,,18.6335958,-452.9521325,,,,,,,,,,,,,,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,1.0,8,,David Fix,Gianluca Ballotta,,,,,,1st Serve In,T,
0-0,4-3,0-0,,2056769.0,1.0,2056769.0,43,,2,Ad,Gianluca Ballotta,Near,,,,,,,,,,0.5031441382,499.1380468,Crosscourt,Backhand,,,,,,,,,,-11.91465989,30.63265529,,,,1.0,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,8,,David Fix,David Fix,,,,Gianluca Ballotta,1,,,
15-0,4-3,0-0,1.0,2070188.0,,,44,,1,Ad,Gianluca Ballotta,Near,1.0,T,47.84202209,188.6391678,,,,,,-45.8644685,-454.7702264,,,,,,,,,,,,,,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,1.0,8,,David Fix,Gianluca Ballotta,,,,,,1st Serve In,T,
15-0,4-3,0-0,,2071139.0,,,44,,2,Ad,Gianluca Ballotta,Near,,,,,,,,,,116.6236056,507.5110236,Down the Line,Forehand,,,,,,,,,,71.40539698,-265.1377078,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,8,,David Fix,David Fix,,1.0,,,,,,Short
15-0,4-3,0-0,,2072389.0,,,44,,3,Deuce,Gianluca Ballotta,Near,,,,,,,,,,48.7427056,-477.4968777,Down the Line,Backhand,,,,,,,,,,14.55064523,237.9677329,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,8,,David Fix,Gianluca Ballotta,,,,,,,,Short
15-0,4-3,0-0,,2073738.0,,,44,,4,Deuce,Gianluca Ballotta,Near,,,,,,,,,,-1.0513014,470.4306977,Crosscourt,Forehand,,,,,,,,,,117.3172517,-323.4285925,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,8,,David Fix,David Fix,,,,,,,,Short
15-0,4-3,0-0,,2074959.0,1.0,2076309.0,44,,5,Deuce,Gianluca Ballotta,Near,,,,,,,,,,129.2578248,-527.7347386,Down the Line,Backhand,,,,,,,,,,103.1303095,478.8486494,,,,,1.0,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,8,,David Fix,Gianluca Ballotta,,,,David Fix,1,,,Long
15-15,4-3,0-0,1.0,2104019.0,,,45,,1,Deuce,Gianluca Ballotta,Near,1.0,Wide,-117.0389818,221.6598152,,,,,,15.28815617,-452.8523841,,,1.0,,,,,,,,,,,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,,8,,David Fix,Gianluca Ballotta,,,,,,1st Serve In,Wide,
15-15,4-3,0-0,,2105108.0,,,45,,2,Deuce,Gianluca Ballotta,Near,,,,,,,,,,-180.4675634,517.08014,Crosscourt,Forehand,,,,,,,,,,24.46995297,-262.0162238,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,8,,David Fix,David Fix,,,,,,,,Short
15-15,4-3,0-0,,2106459.0,,,45,,3,Deuce,Gianluca Ballotta,Near,,,,,,,,,,69.33869751,-469.1239009,Down the Line,Forehand,,,,,,,,,,25.19058399,366.714299,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,8,,David Fix,Gianluca Ballotta,,1.0,,,,,,Deep
15-15,4-3,0-0,,2107809.0,,,45,,4,Ad,Gianluca Ballotta,Near,,,,,,,,,,-0.6243657043,432.1542323,Crosscourt,Forehand,,,,,,,,,,62.58584864,-293.4380249,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,8,,David Fix,David Fix,1.0,,,,,,,Short
15-15,4-3,0-0,,2109159.0,,,45,,5,Deuce,Gianluca Ballotta,Near,,,,,,,,,,79.09471785,-505.9051728,Down the Line,Forehand,,,,,,,,,,61.62660214,299.7259296,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,8,,David Fix,Gianluca Ballotta,,1.0,,,,,,Short
15-15,4-3,0-0,,2110738.0,1.0,2110738.0,45,,6,Ad,Gianluca Ballotta,Near,,,,,,,,,,42.38819991,478.2056048,Down the Line,Forehand,,,,,,,,,,97.41061899,112.7828303,,,,1.0,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,8,,David Fix,David Fix,,1.0,,Gianluca Ballotta,1,,,
30-15,4-3,0-0,1.0,2134088.0,1.0,2141988.0,46,,1,Ad,Gianluca Ballotta,Near,0.0,T,-31.49211505,-2.261182196,0.0,T,-20.14620516,302.4263725,,-39.54735892,-455.0692421,,,1.0,,,,,,,,,,,,,,1.0,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,,8,,David Fix,Gianluca Ballotta,,,1,David Fix,,Double Fault,T,
30-30,4-3,0-0,1.0,2167659.0,,,47,,1,Deuce,Gianluca Ballotta,Near,1.0,T,-31.71637686,171.7771216,,,,,,30.2585794,-435.9310094,,,,,,,,,,,,,,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,1.0,8,,David Fix,Gianluca Ballotta,,,,,,1st Serve In,T,
30-30,4-3,0-0,,2168508.0,,,47,,2,Deuce,Gianluca Ballotta,Near,,,,,,,,,,-60.51719707,509.9033027,Crosscourt,Backhand,,,,,,,,,,20.79468504,-447.7667815,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,8,,David Fix,David Fix,1.0,,,,,,,Deep
30-30,4-3,0-0,,2170218.0,,,47,,3,Deuce,Gianluca Ballotta,Near,,,,,,,,,,35.36087052,-544.1816765,Down the Line,Forehand,,,,,,,,,,90.66064086,146.4911909,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,8,,David Fix,Gianluca Ballotta,,1.0,,,,,,Short
30-30,4-3,0-0,,2172008.0,,,47,,4,Ad,Gianluca Ballotta,Near,,,,,,,,,,119.6139545,457.2731627,Down the Line,Backhand,,,,,,,,,,145.8884132,-237.3507546,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,8,,David Fix,David Fix,,,,,,,,Short
30-30,4-3,0-0,,2173608.0,,,47,,5,Deuce,Gianluca Ballotta,Near,,,,,,,,,,122.4547955,-358.1819773,Down the Line,Backhand,1.0,,,,,,,,,72.36644248,455.0,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,,8,,David Fix,Gianluca Ballotta,,,,,,,,
30-30,4-3,0-0,,2175269.0,,,47,,6,Ad,Gianluca Ballotta,Near,,,,,,,,,,64.5167815,442.3214184,Crosscourt,Forehand,,,1.0,,,,,,,-85.95784121,-202.2555993,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,8,,David Fix,David Fix,1.0,,,,,,,Short
30-30,4-3,0-0,,2176409.0,,,47,,7,Ad,Gianluca Ballotta,Near,,,,,,,,,,-138.6026794,-502.3167542,Down the Line,Forehand,1.0,,,,,,,,,-40.63134843,222.0149825,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,,8,,David Fix,Gianluca Ballotta,,,,,,,,Short
30-30,4-3,0-0,,2178209.0,1.0,2178209.0,47,,8,Deuce,Gianluca Ballotta,Near,,,,,,,,,,-40.63134843,268.2831146,Crosscourt,Forehand,,,1.0,,,,,,,24.35309493,-132.4549049,1.0,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,8,,David Fix,David Fix,,,,David Fix,,,,Short
40-30,4-3,0-0,1.0,2206188.0,,,48,,1,Ad,Gianluca Ballotta,Near,0.0,T,28.18403325,-218.5322835,1.0,Wide,111.5648349,228.2075405,,-29.69790573,-429.3522419,,,1.0,,,,,,,,,,,,,,1.0,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,,8,,David Fix,Gianluca Ballotta,,,,,,2nd Serve In,Wide,
40-30,4-3,0-0,,2226008.0,1.0,2226008.0,48,,2,Ad,Gianluca Ballotta,Near,,,,,,,,,,155.6476487,458.4693023,Down the Line,Forehand,,,,,,,,,,93.37363845,-174.0567148,1.0,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,8,,David Fix,David Fix,,1.0,,David Fix,,,,Short
40-40,4-3,0-0,1.0,2251258.0,1.0,2274289.0,49,1.0,1,Deuce,Gianluca Ballotta,Near,0.0,T,-15.08257327,-10.03608924,0.0,T,-49.67718723,-13.0264381,,37.39805884,-443.7059164,,,1.0,,,,,,,,,,,,,,1.0,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,,8,,David Fix,Gianluca Ballotta,,,1,David Fix,,Double Fault,T,
0-0,4-4,0-0,1.0,2317338.0,,,50,,1,Deuce,David Fix,Far,0.0,Wide,168.5533246,-209.4417378,,,,,,-24.91334755,445.3117673,,,,,,,,,,,,,,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,9,,Gianluca Ballotta,David Fix,,,,,,Double Fault,,
0-0,4-4,0-0,,2318599.0,,,50,,2,Deuce,David Fix,Far,,,,,,,,,,173.8887959,-405.728505,Down the Line,Backhand,1.0,,,,,,,,,58.82851597,284.599568,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,,9,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
0-0,4-4,0-0,,2320539.0,1.0,2320539.0,50,,3,Ad,David Fix,Far,,,,,,,,,,34.74412183,332.87465,Down the Line,Forehand,,,,,,,,,,88.53771325,-384.2628336,1.0,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,9,,Gianluca Ballotta,David Fix,,1.0,,David Fix,,,,Deep
15-0,4-4,0-0,1.0,2342068.0,1.0,2342068.0,51,,1,Ad,David Fix,Far,1.0,Wide,-157.3888834,-210.4951061,,,,,1,-2.71001203,437.9525427,,,1.0,,,,,,,,,,,1.0,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,,9,,Gianluca Ballotta,David Fix,,,,David Fix,,1st Serve In,Wide,
30-0,4-4,0-0,1.0,2359798.0,,,52,,1,Deuce,David Fix,Far,0.0,T,26.10715223,-266.2619259,1.0,Wide,107.9699092,-152.2042979,,-40.55659449,468.6364884,,,,,,,,,,,,,,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,9,,Gianluca Ballotta,David Fix,,,,,,2nd Serve In,Wide,
30-0,4-4,0-0,,2368599.0,,,52,,2,Deuce,David Fix,Far,,,,,,,,,,170.0013233,-443.7059164,Crosscourt,Backhand,,,,,,,,,,-32.80756234,244.751203,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,9,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
30-0,4-4,0-0,,2369999.0,,,52,,3,Deuce,David Fix,Far,,,,,,,,,,-56.03165464,463.2538605,Crosscourt,Forehand,,,,,,,,,,135.1225831,-382.1738189,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,9,,Gianluca Ballotta,David Fix,,,,,,,,Deep
30-0,4-4,0-0,,2371298.0,,,52,,4,Deuce,David Fix,Far,,,,,,,,,,142.4153598,-527.1366689,Crosscourt,Backhand,,,,,,,,,,-41.35247703,242.535876,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,9,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
30-0,4-4,0-0,,2372668.0,1.0,2372668.0,52,,5,Deuce,David Fix,Far,,,,,,,,,,-72.74025044,482.9901629,Crosscourt,Forehand,,,,,,,,,,74.42230971,108.3817257,,,,1.0,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,9,,Gianluca Ballotta,David Fix,,,,Gianluca Ballotta,1,,,
30-15,4-4,0-0,1.0,2392398.0,,,53,,1,Ad,David Fix,Far,0.0,T,-33.801028,-297.4884022,1.0,T,-51.96432087,-196.4533082,,22.8388014,436.8330709,,,1.0,,,,,,,,,,,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,,9,,Gianluca Ballotta,David Fix,,,,,,2nd Serve In,T,
30-15,4-4,0-0,,2401699.0,,,53,,2,Ad,David Fix,Far,,,,,,,,,,-96.88730315,-529.8279637,Crosscourt,Backhand,,,,,,,,,,40.11059711,347.209416,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,9,,Gianluca Ballotta,Gianluca Ballotta,1.0,,,,,,,Short
30-15,4-4,0-0,,2403139.0,,,53,,3,Ad,David Fix,Far,,,,,,,,,,77.8985783,509.9033027,Down the Line,Forehand,,,,,,,,,,60.425257,-272.7612314,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,9,,Gianluca Ballotta,David Fix,,1.0,,,,,,Short
30-15,4-4,0-0,,2404588.0,,,53,,4,Deuce,David Fix,Far,,,,,,,,,,63.20849191,-554.3488626,Down the Line,Backhand,1.0,,,,,,,,,124.0494313,413.6033902,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,,9,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Deep
30-15,4-4,0-0,,2406199.0,,,53,,5,Ad,David Fix,Far,,,,,,,,,,111.4652395,431.5561625,Crosscourt,Backhand,,,,,,,,,,-86.19714567,-195.8187227,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,9,,Gianluca Ballotta,David Fix,,,,,,,,Short
30-15,4-4,0-0,,2407499.0,,,53,,6,Ad,David Fix,Far,,,,,,,,,,-155.1991251,-510.3907152,Crosscourt,Forehand,,,,,,,,,,105.6573217,241.753773,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,9,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
30-15,4-4,0-0,,2408999.0,1.0,2411999.0,53,,7,Ad,David Fix,Far,,,,,,,,,,154.0029856,494.3534886,Down the Line,Backhand,,,,,,,,,,163.8586013,-341.9050634,,,1.0,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,9,,Gianluca Ballotta,David Fix,,,,Gianluca Ballotta,1,,,
30-30,4-4,0-0,1.0,2443668.0,,,54,,1,Deuce,David Fix,Far,1.0,Body,99.87715442,-131.7436133,,,,,,-41.04255249,474.6171861,,,,,,,,,,,,,,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,9,,Gianluca Ballotta,David Fix,,,,,,1st Serve In,Body,
30-30,4-4,0-0,,2444619.0,,,54,,2,Deuce,David Fix,Far,,,,,,,,,,167.7585521,-438.3232885,Down the Line,Backhand,,,,,,,,,,14.91538167,332.6581966,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,9,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
30-30,4-4,0-0,,2446099.0,,,54,,3,Deuce,David Fix,Far,,,,,,,,,,-17.50287073,438.13493,Crosscourt,Forehand,,,,,,,,,,66.77344707,-314.1417268,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,9,,Gianluca Ballotta,David Fix,,,,,,,,Short
30-30,4-4,0-0,,2447318.0,,,54,,4,Deuce,David Fix,Far,,,,,,,,,,90.38328959,-559.7314906,Crosscourt,Backhand,,,,,,,,,,-14.90500875,225.0053314,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,9,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
30-30,4-4,0-0,,2448699.0,1.0,2448699.0,54,,5,Deuce,David Fix,Far,,,,,,,,,,-42.76200787,426.1735346,Crosscourt,Forehand,,,,,,,,,,13.0734416,7.00888014,,,,1.0,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,9,,Gianluca Ballotta,David Fix,,,,Gianluca Ballotta,1,,,
30-40,4-4,0-0,1.0,2470199.0,,,55,1.0,1,Ad,David Fix,Far,1.0,T,-33.87742782,-200.1187773,,,,,,41.56586833,428.5658136,,,1.0,,,,,,,,,,,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,,9,,Gianluca Ballotta,David Fix,,,,,,1st Serve In,T,
30-40,4-4,0-0,,2471199.0,,,55,1.0,2,Ad,David Fix,Far,,,,,,,,,,-66.68479878,-528.9308782,Crosscourt,Backhand,,,,,,,,,,63.6033902,308.736133,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,9,,Gianluca Ballotta,Gianluca Ballotta,1.0,,,,,,,Short
30-40,4-4,0-0,,2472699.0,,,55,1.0,3,Ad,David Fix,Far,,,,,,,,,,89.18715004,436.9387905,Down the Line,Forehand,,,,,,,,,,69.21873906,-213.0014108,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,9,,Gianluca Ballotta,David Fix,,1.0,,,,,,Short
30-40,4-4,0-0,,2474099.0,,,55,1.0,4,Deuce,David Fix,Far,,,,,,,,,,60.74145888,-552.8536691,Down the Line,Backhand,1.0,,,,,,,,,147.8916885,419.2998852,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,,9,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Deep
