pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-0,0-0,0-0,,75198.0,,,2,,5,Ad,David Fix,Far,,,,,,,,,,73.11402012,530.237675,Crosscourt,Forehand,,,,,,,,,,-25.05596566,-165.0500711,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,David Fix,1.0,,,,,,,Short
15-0,0-0,0-0,,76709.0,,,2,,6,Ad,David Fix,Far,,,,,,,,,,-61.78809055,-522.9501804,Crosscourt,Forehand,,,,,,,,,,79.22420713,214.8691874,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
15-0,0-0,0-0,,78329.0,,,2,,7,Ad,David Fix,Far,,,,,,,,,,134.042383,475.2152559,Down the Line,Backhand,,,,,,,,,,0.9275153106,-173.569264,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,1,,Gianluca Ballotta,David Fix,,,,,,,,Short
15-0,0-0,0-0,,79608.0,,,2,,8,Ad,David Fix,Far,,,,,,,,,,-47.69607393,-524.4453357,Crosscourt,Forehand,,,,,,,,,,110.1530457,336.5754101,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
15-0,0-0,0-0,,81098.0,1.0,81098.0,2,,9,Ad,David Fix,Far,,,,,,,,,,139.724065,468.0384186,Down the Line,Backhand,,,,,,,,,,31.80024059,-466.3650864,,,,,1.0,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,David Fix,,,,Gianluca Ballotta,1,,,Long
15-15,0-0,0-0,1.0,107658.0,,,3,,1,Deuce,David Fix,Far,0.0,Wide,172.1816273,-220.1851378,1.0,Body,59.41345691,-128.8684766,,-38.68763123,474.6171861,,,1.0,,,,,,,,,,,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,,1,,Gianluca Ballotta,David Fix,,,,,,2nd Serve In,Body,
15-15,0-0,0-0,,118729.0,,,3,,2,Deuce,David Fix,Far,,,,,,,,,,142.2658519,-521.1559711,Crosscourt,Forehand,,,,,,,,,,-46.49832677,364.0098371,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,Gianluca Ballotta,1.0,,,,,,,Deep
15-15,0-0,0-0,,120158.0,,,3,,3,Deuce,David Fix,Far,,,,,,,,,,-55.24668088,429.1638834,Crosscourt,Forehand,,,,,,,,,,87.82374234,-145.8458497,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,David Fix,,,,,,,,Short
15-15,0-0,0-0,,121848.0,,,3,,4,Deuce,David Fix,Far,,,,,,,,,,130.3044565,-490.9534285,Crosscourt,Backhand,1.0,,,,,,,,,-32.22556868,376.2736166,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,,,1,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Deep
15-15,0-0,0-0,,123398.0,,,3,,5,Deuce,David Fix,Far,,,,,,,,,,-60.51719707,546.9836286,Crosscourt,Forehand,,,,,,,,,,103.1105971,-223.9891295,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,David Fix,,,,,,,,Short
